Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Location,About Company,Investors
TheCollegeFever,2018,,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",
Happy Cow Dairy,2018,,"Agriculture, Farming",Seed,"₹ 4,00,00,000.00","Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,
MyLoanCare,2018,,"Credit, Financial Services, Lending, Marketplace",Series A,"₹ 6,50,00,000.00","Gurgaon, Haryana, India",Leading Online Loans Marketplace in India,
PayMe India,2018,,"Financial Services, FinTech",Angel,"₹ 20,00,000.00","Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,
Eunimart,2018,,"E-Commerce Platforms, Retail, SaaS",Seed,—,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.,
Hasura,2018,,"Cloud Infrastructure, PaaS, SaaS",Seed,"₹ 16,00,000.00","Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",
Tripshelf,2018,,"Internet, Leisure, Marketplace",Seed,"₹ 1,60,00,000.00","Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,
Hyperdata.IO,2018,,Market Research,Angel,"₹ 5,00,00,000.00","Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,
Freightwalla,2018,,"Information Services, Information Technology",Seed,—,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,
Microchip Payments,2018,,Mobile Payments,Seed,—,"Bangalore, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,
BizCrum Infotech Pvt. Ltd.,2018,,"B2B, Shoes",Seed,—,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces,
Emojifi,2018,,Internet,Seed,—,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",
Flock,2018,,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,—,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,
Freshboxx,2018,,Food Delivery,Seed,—,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",
Wide Mobility Mechatronics,2018,,Industrial Automation,Seed,—,"Bangalore, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,
Pitstop,2018,,"Automotive, Search Engine, Service Industry",Seed,"₹ 10,00,00,000.00","Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,
Mihuru,2018,,"Finance, Internet, Travel",Seed,"₹ 1,50,000.00","Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,
Fyle,2018,,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,"₹ 11,00,000.00","Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,
AppWharf,2018,,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,—,"New Delhi, Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,
Antariksh Waste Ventures Pvt ltd,2018,,"Internet of Things, Waste Management",Seed,"₹ 5,00,000.00","Chennai, Tamil Nadu, India",Waste Management for Smart Cities,
